"Options.SECTION:[algernon.ImageOverlay]"	"Image Overlay"
"Options.TAB:Overlay"	"Overlay"
"Options.TAB:Keys"	"Tasten"
"Options.GROUP:OverlaySize"	"Overlay Größe"
"Options.GROUP:OverlayPosition"	"Overlay-Position"
"Options.GROUP:OverlayRotation"	"Overlay rotation"
"Options.GROUP:OverlayElevation"	"Overlay elevation"
"Options.OPTION:SelectedOverlay"	"Zu verwendende Overlay-Datei"
"Options.OPTION_DESCRIPTION:SelectedOverlay"	"Wähle eine zu verwendende Overlay-Datei."
"Options.OPTION:RefreshFileList"	"Dateiliste aktualisieren"
"Options.OPTION_DESCRIPTION:RefreshFileList"	"Aktualisiert die Liste der verfügbaren Overlay-Dateien aus dem 'Overlays' Verzeichnis in dem Benutzereinstellung-Ordner von Cities: Skylines II."
"Options.OPTION:ShowThroughTerrain"	"Show overlay through terrain"
"Options.OPTION_DESCRIPTION:ShowThroughTerrain"	"Wenn diese Option aktiviert ist, wird das Overlay-Bild auch dann sichtbar, wenn das Gelände darüber liegt."
"Options.OPTION:OverlaySize"	"Overlay Größe"
"Options.OPTION_DESCRIPTION:OverlaySize"	"Die Größe des Overlay's in Metern. Diese kann auch mit der ""minus"" und ""ist gleich"" Taste geändert werden."
"Options.OPTION:ResetToVanilla"	"Overlay Größe zurücksetzen"
"Options.OPTION_DESCRIPTION:ResetToVanilla"	"Setze die Overlay Größe auf die Standard-Kartengröße zurück (14,336 m)."
"Options.OPTION:OverlayPosX"	"Overlay X-position"
"Options.OPTION_DESCRIPTION:OverlayPosX"	"Die X (Ost - West) Koordinate, in der Mitte des Overlay's, in Metern. Diese kann auch mit der linken und rechten Pfeiltaste geändert werden, während die Steuerung-Taste (für 1 m) oder Shift-Taste (für 10 m) gedrückt wird."
"Options.OPTION:OverlayPosZ"	"Overlay Z-position"
"Options.OPTION_DESCRIPTION:OverlayPosZ"	"Die Z (Nord - Süd) Koordinate, in der Mitte des Overlay's, in Metern. Diese kann auch mit der oberen und unteren Pfeiltaste geändert werden, während die Steuerung-Taste (für 1 m) oder Shift-Taste (für 10 m) gedrückt wird."
"Options.OPTION:OverlayPosY"	"Overlay-Höhe"
"Options.OPTION_DESCRIPTION:OverlayPosY"	"The elevation of the overlay image projection above the map base, in meters.  This can also be changed in-game using the page-up and page-down keys while holding down control."
"Options.OPTION:ResetPosition"	"Overlay Position zurücksetzen"
"Options.OPTION:OverlayRotation"	"Overlay rotation"
"Options.OPTION_DESCRIPTION:OverlayRotation"	"The rotation (in degrees) of the overlay image projection."
"Options.OPTION:ResetRotation"	"Reset overlay rotation"
"Options.OPTION_DESCRIPTION:ResetPosition"	"Setze das Overlay zurück in die Mitte der Karte."
"Options.OPTION:Alpha"	"Overlay Transparenz"
"Options.OPTION_DESCRIPTION:Alpha"	"Transparenz; 0% ist komplett sichtbar und 100% ist komplett durchsichtig (unsichtbar)."
"Options.OPTION:ToggleBinding"	"Toggle overlay visibility"
"Options.OPTION_DESCRIPTION:ToggleBinding"	"Toggles overlay visibility between on and off."
"Options.OPTION:IncreaseSizeBinding"	"Größe um 10m vergrößern"
"Options.OPTION_DESCRIPTION:IncreaseSizeBinding"	"Increases the overlay image size by 10m."
"Options.OPTION:DecreaseSizeBinding"	"Größe um 10m verringern"
"Options.OPTION_DESCRIPTION:DecreaseSizeBinding"	"Decreases the overlay image size by 10m."
"Options.OPTION:IncreaseSizeLargeBinding"	"Größe um 10om vergrößern"
"Options.OPTION_DESCRIPTION:IncreaseSizeLargeBinding"	"Erhöht die Größe des Overlay-Bildes um 100m."
"Options.OPTION:DecreaseSizeLargeBinding"	"Größe um 100m verringern"
"Options.OPTION_DESCRIPTION:DecreaseSizeLargeBinding"	"Verkleinert die Overlay-Bildgröße um 100m."
"Options.OPTION:MoveUpBinding"	"Increase elevation 1m"
"Options.OPTION_DESCRIPTION:MoveUpBinding"	"Increases the overlay elevation by 1m."
"Options.OPTION:MoveDownBinding"	"Decrease elevation 1m"
"Options.OPTION_DESCRIPTION:MoveDownBinding"	"Decreases the overlay elevation by 1m."
"Options.OPTION:MoveUpLargeBinding"	"Increase elevation 10m"
"Options.OPTION_DESCRIPTION:MoveUpLargeBinding"	"Increases the overlay elevation by 10m."
"Options.OPTION:MoveDownLargeBinding"	"Decrease elevation 10m"
"Options.OPTION_DESCRIPTION:MoveDownLargeBinding"	"Decreases the overlay elevation by 10m."
"Options.OPTION:MoveNorthBinding"	"Verschiebe nach Norden 1m"
"Options.OPTION_DESCRIPTION:MoveNorthBinding"	"Verschiebt das Overlay-Bild um 1m nach Norden."
"Options.OPTION:MoveSouthBinding"	"Verschiebe nach Süden 1m"
"Options.OPTION_DESCRIPTION:MoveSouthBinding"	"Verschiebt das Overlay-Bild um 1m nach Süden."
"Options.OPTION:MoveEastBinding"	"Verschiebe nach Osten 1m"
"Options.OPTION_DESCRIPTION:MoveEastBinding"	"Verschiebt das Overlay-Bild um 1m nach Osten."
"Options.OPTION:MoveWestBinding"	"Verschiebe nach Westen 1m"
"Options.OPTION_DESCRIPTION:MoveWestBinding"	"Verschiebt das Overlay-Bild um 1m nach Westen."
"Options.OPTION:MoveNorthLargeBinding"	"Verschiebe nach Norden 10m"
"Options.OPTION_DESCRIPTION:MoveNorthLargeBinding"	"Moves the overlay image north by 10m."
"Options.OPTION:MoveSouthLargeBinding"	"Verschiebe nach Süden 10m"
"Options.OPTION_DESCRIPTION:MoveSouthLargeBinding"	"Verschiebt das Overlay-Bild um 10m nach Süden."
"Options.OPTION:MoveEastLargeBinding"	"Verschiebe Osten 10m"
"Options.OPTION_DESCRIPTION:MoveEastLargeBinding"	"Verschiebt das Overlay-Bild um 10m nach Osten."
"Options.OPTION:MoveWestLargeBinding"	"Verschiebe Westen 10m"
"Options.OPTION_DESCRIPTION:MoveWestLargeBinding"	"Verschiebt das Overlay-Bild nach Westen um 10m."
"Options.OPTION:RotateLeftBinding"	"Gegen den Uhrzeigersinn drehen"
"Options.OPTION_DESCRIPTION:RotateLeftBinding"	"Dreht das Overlay-Bild gegen den Uhrzeigersinn um 1 Grad."
"Options.OPTION:RotateRightBinding"	"Im Uhrzeigersinn drehen"
"Options.OPTION_DESCRIPTION:RotateRightBinding"	"Dreht das Overlay-Bild im Uhrzeigersinn um 1 Grad."
"Options.OPTION:RotateLeftLargeBinding"	"Gegen den Uhrzeigersinn um 90 Grad drehen"
"Options.OPTION_DESCRIPTION:RotateLeftLargeBinding"	"Dreht das Overlay-Bild gegen den Uhrzeigersinn um 90 Grad."
"Options.OPTION:RotateRightLargeBinding"	"Im Uhrzeigersinn um 45 Grad drehen"
"Options.OPTION_DESCRIPTION:RotateRightLargeBinding"	"Dreht das Overlay-Bild im Uhrzeigersinn um 90 Grad."
