"Options.SECTION:[algernon.ImageOverlay]"	"Image Overlay"
"Options.OPTION:SelectedOverlay"	"Fichier de couche à superposer à utiliser"
"Options.OPTION_DESCRIPTION:SelectedOverlay"	"Sélectionnez un fichier de superposition à utiliser."
"Options.OPTION:RefreshFileList"	"Rafraichir la liste de fichiers"
"Options.OPTION_DESCRIPTION:RefreshFileList"	"Actualise la liste des fichiers de superpositions disponibles dans le répertoire 'Overlays' de Cities: Skylines II dans le répertoire des paramètres de l'utilisateur."
"Options.OPTION:OverlaySize"	"Taille de l'image de superposition"
"Options.OPTION_DESCRIPTION:OverlaySize"	"La taille de la projection de l'image de superposition, en mètres. Cela peut également être changé en jeu en utilisant les touches plus(+) et égale(=)."
"Options.OPTION:ResetToVanilla"	"Réinitialiser la taille de l'image de superposition"
"Options.OPTION_DESCRIPTION:ResetToVanilla"	"Réinitialise la taille de l'image de superposition à la taille par défaut de la carte jouable (14,336 m)."
"Options.OPTION:OverlayPosX"	"La position en X de l'image de superposition"
"Options.OPTION_DESCRIPTION:OverlayPosX"	"La coordonnée X (est-ouest) du centre de l'image superposée est en mètres. Cela peut également être changé en jeu en utilisant les flèches de droite et de gauche tout en maintenant enfoncé la touche Ctrl (pour 1 m d'augmentation) ou Maj (pour 10 m d'augmentation)."
"Options.OPTION:OverlayPosZ"	"La position en Z de l'image de superposition"
"Options.OPTION_DESCRIPTION:OverlayPosZ"	"La coordonnée Z (nord-sud) du centre de l'image superposée est en mètres. Cela peut également être changé en jeu en utilisant les flèches de droite et de gauche tout en maintenant enfoncé la touche Ctrl (pour 1 m d'augmentation) ou Maj (pour 10 m d'augmentation)."
"Options.OPTION:OverlayPosY"	"Altitude de l'image de superposition"
"Options.OPTION_DESCRIPTION:OverlayPosY"	"L'élévation de l'image de superposition au-dessus de la base de la carte est en mètres. Cela peut également être modifié en jeu en utilisant les touches page-up et page-down tout en maintenant la touche Ctrl enfoncée."
"Options.OPTION:ResetPosition"	"Réinitialiser la position de l'image de superposition"
"Options.OPTION:OverlayRotation"	"Rotation de l'image de superposition"
"Options.OPTION_DESCRIPTION:OverlayRotation"	"La rotation (en degrés) de l'image de superposition."
"Options.OPTION:ResetRotation"	"Réinitialiser la rotation de l'image de superposition"
"Options.OPTION_DESCRIPTION:ResetPosition"	"Réinitialise la position de l'image de superposition au centre de la carte."
"Options.OPTION:Alpha"	"Transparence de l'image de superposition"
"Options.OPTION_DESCRIPTION:Alpha"	"La transparence de l'image ; 0% est totalement opaque et 100% est totalement transparent (invisible)."
