"Options.SECTION:[algernon.ImageOverlay]"	"Image Overlay"
"Options.TAB:Overlay"	"Sobreposição"
"Options.TAB:Keys"	"Teclas"
"Options.GROUP:OverlaySize"	"Tamanho da sobreposição"
"Options.GROUP:OverlayPosition"	"Posição da sobreposição"
"Options.GROUP:OverlayRotation"	"Rotação da sobreposição"
"Options.GROUP:OverlayElevation"	"Elevação da sobreposição"
"Options.OPTION:SelectedOverlay"	"Arquivo de sobreposição a ser usado"
"Options.OPTION_DESCRIPTION:SelectedOverlay"	"Seleciona um arquivo de sobreposição a ser usado."
"Options.OPTION:RefreshFileList"	"Atualizar lista de arquivos"
"Options.OPTION_DESCRIPTION:RefreshFileList"	"Atualiza a lista de arquivos de sobreposição disponíveis no diretório 'Overlays' nas definições do usuário do Cities: Skylines II."
"Options.OPTION:ShowThroughTerrain"	"Mostrar sobreposição através do terreno"
"Options.OPTION_DESCRIPTION:ShowThroughTerrain"	"Quando ativado, a imagem de sobreposição será visível mesmo quando estiver abaixo do terreno."
"Options.OPTION:OverlaySize"	"Tamanho da sobreposição"
"Options.OPTION_DESCRIPTION:OverlaySize"	"O tamanho da projeção da imagem de sobreposição, em metros. Isso também pode ser alterado no jogo usando as teclas de menos e igual."
"Options.OPTION:ResetToVanilla"	"Redefinir tamanho da sobreposição"
"Options.OPTION_DESCRIPTION:ResetToVanilla"	"Redefine o tamanho da sobreposição para o tamanho padrão do mapa jogável (14.336m)."
"Options.OPTION:OverlayPosX"	"Posição X da sobreposição"
"Options.OPTION_DESCRIPTION:OverlayPosX"	"A coordenada X (leste-oeste) do centro da projeção da imagem de sobreposição, em metros. Isso também pode ser alterado no jogo usando as teclas de seta esquerda e direita enquanto segura control (para incrementos de 1m) ou shift (para incrementos de 10m)."
"Options.OPTION:OverlayPosZ"	"Posição Z da sobreposição"
"Options.OPTION_DESCRIPTION:OverlayPosZ"	"A coordenada Z (norte-sul) do centro da projeção da imagem de sobreposição, em metros. Isso também pode ser alterado no jogo usando as teclas de seta para cima e para baixo enquanto segura control (para incrementos de 1m) ou shift (para incrementos de 10m)."
"Options.OPTION:OverlayPosY"	"Elevação da sobreposição"
"Options.OPTION_DESCRIPTION:OverlayPosY"	"A elevação da projeção da imagem de sobreposição acima da base do mapa, em metros. Isso também pode ser alterado no jogo usando as teclas page-up e page-down enquanto segura control."
"Options.OPTION:ResetPosition"	"Redefinir posição da sobreposição"
"Options.OPTION:OverlayRotation"	"Rotação da sobreposição"
"Options.OPTION_DESCRIPTION:OverlayRotation"	"A rotação (em graus) da projeção da imagem de sobreposição."
"Options.OPTION:ResetRotation"	"Redefinir rotação da sobreposição"
"Options.OPTION_DESCRIPTION:ResetPosition"	"Redefine a posição da sobreposição para o centro do mapa."
"Options.OPTION:Alpha"	"Transparência da sobreposição"
"Options.OPTION_DESCRIPTION:Alpha"	"A transparência da imagem; 0% é completamente opaco e 100% é totalmente transparente (invisível)."
"Options.OPTION:ToggleBinding"	"Alternar visibilidade da sobreposição"
"Options.OPTION_DESCRIPTION:ToggleBinding"	"Alterna a visibilidade da sobreposição entre ligado e desligado."
"Options.OPTION:IncreaseSizeBinding"	"Aumentar tamanho 10m"
"Options.OPTION_DESCRIPTION:IncreaseSizeBinding"	"Aumenta o tamanho da imagem de sobreposição em 10m."
"Options.OPTION:DecreaseSizeBinding"	"Diminuir tamanho 10m"
"Options.OPTION_DESCRIPTION:DecreaseSizeBinding"	"Diminui o tamanho da imagem de sobreposição em 10m."
"Options.OPTION:IncreaseSizeLargeBinding"	"Aumentar tamanho 100m"
"Options.OPTION_DESCRIPTION:IncreaseSizeLargeBinding"	"Aumenta o tamanho da imagem de sobreposição em 100m."
"Options.OPTION:DecreaseSizeLargeBinding"	"Diminuir tamanho 100m"
"Options.OPTION_DESCRIPTION:DecreaseSizeLargeBinding"	"Diminui o tamanho da imagem de sobreposição em 100m."
"Options.OPTION:MoveUpBinding"	"Aumentar elevação 1m"
"Options.OPTION_DESCRIPTION:MoveUpBinding"	"Aumenta a elevação da sobreposição em 1m."
"Options.OPTION:MoveDownBinding"	"Diminuir elevação 1m"
"Options.OPTION_DESCRIPTION:MoveDownBinding"	"Diminui a elevação da sobreposição em 1m."
"Options.OPTION:MoveUpLargeBinding"	"Aumentar elevação 10m"
"Options.OPTION_DESCRIPTION:MoveUpLargeBinding"	"Aumenta a elevação da sobreposição em 10m."
"Options.OPTION:MoveDownLargeBinding"	"Diminuir elevação 10m"
"Options.OPTION_DESCRIPTION:MoveDownLargeBinding"	"Diminui a elevação da sobreposição em 10m."
"Options.OPTION:MoveNorthBinding"	"Mover 1m para norte"
"Options.OPTION_DESCRIPTION:MoveNorthBinding"	"Move a imagem de sobreposição 1m para o norte."
"Options.OPTION:MoveSouthBinding"	"Mover 1m para sul"
"Options.OPTION_DESCRIPTION:MoveSouthBinding"	"Move a imagem de sobreposição 1m para o sul."
"Options.OPTION:MoveEastBinding"	"Mover 1m para leste"
"Options.OPTION_DESCRIPTION:MoveEastBinding"	"Move a imagem de sobreposição 1m para o leste."
"Options.OPTION:MoveWestBinding"	"Mover 1m para oeste"
"Options.OPTION_DESCRIPTION:MoveWestBinding"	"Move a imagem de sobreposição 1m para o oeste."
"Options.OPTION:MoveNorthLargeBinding"	"Mover 10m para norte"
"Options.OPTION_DESCRIPTION:MoveNorthLargeBinding"	"Move a imagem de sobreposição 10m para o norte."
"Options.OPTION:MoveSouthLargeBinding"	"Mover 10m para sul"
"Options.OPTION_DESCRIPTION:MoveSouthLargeBinding"	"Move a imagem de sobreposição 10m para o sul."
"Options.OPTION:MoveEastLargeBinding"	"Mover 10m para leste"
"Options.OPTION_DESCRIPTION:MoveEastLargeBinding"	"Move a imagem de sobreposição 10m para o leste."
"Options.OPTION:MoveWestLargeBinding"	"Mover 10m para oeste"
"Options.OPTION_DESCRIPTION:MoveWestLargeBinding"	"Move a imagem de sobreposição 10m para o oeste."
"Options.OPTION:RotateLeftBinding"	"Rodar no sentido anti-horário"
"Options.OPTION_DESCRIPTION:RotateLeftBinding"	"Roda a imagem de sobreposição no sentido anti-horário em 1 grau."
"Options.OPTION:RotateRightBinding"	"Rodar no sentido horário"
"Options.OPTION_DESCRIPTION:RotateRightBinding"	"Roda a imagem de sobreposição no sentido horário em 1 grau."
"Options.OPTION:RotateLeftLargeBinding"	"Rodar 90 graus no sentido anti-horário"
"Options.OPTION_DESCRIPTION:RotateLeftLargeBinding"	"Roda a imagem de sobreposição 90 graus no sentido anti-horário."
"Options.OPTION:RotateRightLargeBinding"	"Rodar 90 graus no sentido horário"
"Options.OPTION_DESCRIPTION:RotateRightLargeBinding"	"Roda a imagem de sobreposição 90 graus no sentido horário."
