"Options.SECTION:[algernon.ImageOverlay]"	"Image Overlay"
"Options.TAB:Overlay"	"Overlay"
"Options.TAB:Keys"	"Keys"
"Options.GROUP:OverlaySize"	"Overlay size"
"Options.GROUP:OverlayPosition"	"Overlay position"
"Options.GROUP:OverlayRotation"	"Overlay rotation"
"Options.GROUP:OverlayElevation"	"Overlay elevation"
"Options.OPTION:SelectedOverlay"	"選擇覆蓋用圖片"
"Options.OPTION_DESCRIPTION:SelectedOverlay"	"請選擇要投影的圖片檔案"
"Options.OPTION:RefreshFileList"	"重新整理列表"
"Options.OPTION_DESCRIPTION:RefreshFileList"	"重新整理「Overlay」資料夾並將可用的新圖片加入選擇列表。（Overlay資料夾位於「%LocalAppData%Low\Colossal Order\Cities Skylines II」，如無此資料夾請手動新建或是載入任一遊戲存檔）"
"Options.OPTION:ShowThroughTerrain"	"Show overlay through terrain"
"Options.OPTION_DESCRIPTION:ShowThroughTerrain"	"When this is enabled the overlay image will be visible even when underneath the terrain."
"Options.OPTION:OverlaySize"	"覆蓋用圖片尺寸"
"Options.OPTION_DESCRIPTION:OverlaySize"	"可透過此拉桿快速調整覆蓋用圖片的顯示尺寸（單位：公尺）在遊戲中可以透過「＋」與「－」快捷鍵進行微調。"
"Options.OPTION:ResetToVanilla"	"重置圖片尺寸"
"Options.OPTION_DESCRIPTION:ResetToVanilla"	"將覆蓋用圖片尺寸重設為預設地圖大小（長寬皆為 14336 公尺）"
"Options.OPTION:OverlayPosX"	"圖片Ｘ軸位置"
"Options.OPTION_DESCRIPTION:OverlayPosX"	"調整覆蓋用圖片的Ｘ軸座標（東西向），單位為公尺。遊戲進行中也能透過 Ctrl 鍵／Shift 鍵加上方向鍵的組合進行微調。（Ctrl＋左右方向鍵：每次移動１公尺／Shift＋左右方向鍵：每次移動10公尺）"
"Options.OPTION:OverlayPosZ"	"圖片Ｚ軸位置"
"Options.OPTION_DESCRIPTION:OverlayPosZ"	"調整覆蓋用圖片的Ｚ軸座標（南北向），單位為公尺。遊戲進行中也能透過 Ctrl 鍵／Shift 鍵加上方向鍵的組合進行微調。（Ctrl＋上下方向鍵：每次移動１公尺／Shift＋上下方向鍵：每次移動10公尺）"
"Options.OPTION:OverlayPosY"	"圖片懸浮高度"
"Options.OPTION_DESCRIPTION:OverlayPosY"	"覆蓋用圖片懸浮在地圖上方的高度（單位：公尺）在遊戲中可以透過「Page-Up」與「Page-Down」快捷鍵進行微調"
"Options.OPTION:ResetPosition"	"重置圖片位置"
"Options.OPTION:OverlayRotation"	"圖片旋轉角度"
"Options.OPTION_DESCRIPTION:OverlayRotation"	"調整覆蓋用圖片的旋轉角度"
"Options.OPTION:ResetRotation"	"重置旋轉角度"
"Options.OPTION_DESCRIPTION:ResetPosition"	"重置覆蓋用圖片的位置，將其對齊地圖中心。"
"Options.OPTION:Alpha"	"覆蓋用圖片透明度"
"Options.OPTION_DESCRIPTION:Alpha"	"調整覆蓋用圖片的透明度；0％為完全不透明，100%為完全透明（不可見）。"
"Options.OPTION:ToggleBinding"	"Toggle overlay visibility"
"Options.OPTION_DESCRIPTION:ToggleBinding"	"Toggles overlay visibility between on and off."
"Options.OPTION:IncreaseSizeBinding"	"Increase size 10m"
"Options.OPTION_DESCRIPTION:IncreaseSizeBinding"	"Increases the overlay image size by 10m."
"Options.OPTION:DecreaseSizeBinding"	"Decrease size 10m"
"Options.OPTION_DESCRIPTION:DecreaseSizeBinding"	"Decreases the overlay image size by 10m."
"Options.OPTION:IncreaseSizeLargeBinding"	"Increase size 100m"
"Options.OPTION_DESCRIPTION:IncreaseSizeLargeBinding"	"Increases the overlay image size by 100m."
"Options.OPTION:DecreaseSizeLargeBinding"	"Decrease size 100m"
"Options.OPTION_DESCRIPTION:DecreaseSizeLargeBinding"	"Decreases the overlay image size by 100m."
"Options.OPTION:MoveUpBinding"	"Increase elevation 1m"
"Options.OPTION_DESCRIPTION:MoveUpBinding"	"Increases the overlay elevation by 1m."
"Options.OPTION:MoveDownBinding"	"Decrease elevation 1m"
"Options.OPTION_DESCRIPTION:MoveDownBinding"	"Decreases the overlay elevation by 1m."
"Options.OPTION:MoveUpLargeBinding"	"Increase elevation 10m"
"Options.OPTION_DESCRIPTION:MoveUpLargeBinding"	"Increases the overlay elevation by 10m."
"Options.OPTION:MoveDownLargeBinding"	"Decrease elevation 10m"
"Options.OPTION_DESCRIPTION:MoveDownLargeBinding"	"Decreases the overlay elevation by 10m."
"Options.OPTION:MoveNorthBinding"	"Move north 1m"
"Options.OPTION_DESCRIPTION:MoveNorthBinding"	"Moves the overlay image north by 1m."
"Options.OPTION:MoveSouthBinding"	"Move south 1m"
"Options.OPTION_DESCRIPTION:MoveSouthBinding"	"Moves the overlay image south by 1m."
"Options.OPTION:MoveEastBinding"	"Move east 1m"
"Options.OPTION_DESCRIPTION:MoveEastBinding"	"Moves the overlay image east by 1m."
"Options.OPTION:MoveWestBinding"	"Move west 1m"
"Options.OPTION_DESCRIPTION:MoveWestBinding"	"Moves the overlay image west by 1m."
"Options.OPTION:MoveNorthLargeBinding"	"Move north 10m"
"Options.OPTION_DESCRIPTION:MoveNorthLargeBinding"	"Moves the overlay image north by 10m."
"Options.OPTION:MoveSouthLargeBinding"	"Move south 10m"
"Options.OPTION_DESCRIPTION:MoveSouthLargeBinding"	"Moves the overlay image south by 10m."
"Options.OPTION:MoveEastLargeBinding"	"Move east 10m"
"Options.OPTION_DESCRIPTION:MoveEastLargeBinding"	"Moves the overlay image east by 10m."
"Options.OPTION:MoveWestLargeBinding"	"Move west 10m"
"Options.OPTION_DESCRIPTION:MoveWestLargeBinding"	"Moves the overlay image west by 10m."
"Options.OPTION:RotateLeftBinding"	"Rotate counter-clockwise"
"Options.OPTION_DESCRIPTION:RotateLeftBinding"	"Rotates the overlay image counter-clockwise by 1 degree."
"Options.OPTION:RotateRightBinding"	"Rotate clockwise"
"Options.OPTION_DESCRIPTION:RotateRightBinding"	"Rotates the overlay image clockwise by 1 degree."
"Options.OPTION:RotateLeftLargeBinding"	"Rotate counter-clockwise 90 degrees"
"Options.OPTION_DESCRIPTION:RotateLeftLargeBinding"	"Rotates the overlay image counter-clockwise by 90 degrees."
"Options.OPTION:RotateRightLargeBinding"	"Rotate clockwise 90 degrees"
"Options.OPTION_DESCRIPTION:RotateRightLargeBinding"	"Rotates the overlay image clockwise by 90 degrees."
